Episode,Score,Steps,AvgScore,Epsilon,QStates
582,0,26,0.14,0.9434,1403
583,0,36,0.14,0.9433,1403
584,0,9,0.14,0.9432,1403
585,0,14,0.14,0.9431,1403
586,0,6,0.14,0.9430,1404
587,0,27,0.14,0.9429,1404
588,0,62,0.14,0.9428,1404
589,1,10,0.15,0.9427,1404
590,3,61,0.18,0.9426,1411
591,0,5,0.17,0.9425,1411
592,1,23,0.18,0.9424,1412
593,0,30,0.18,0.9423,1412
594,0,14,0.18,0.9422,1413
595,0,11,0.18,0.9421,1413
596,2,29,0.20,0.9420,1418
597,0,28,0.20,0.9420,1418
598,0,13,0.19,0.9419,1418
599,0,20,0.19,0.9418,1420
600,0,25,0.19,0.9417,1423
601,0,19,0.19,0.9416,1423
602,0,11,0.19,0.9415,1424
603,0,13,0.18,0.9414,1424
604,0,12,0.18,0.9413,1424
605,0,19,0.18,0.9412,1424
606,0,9,0.18,0.9411,1425
607,0,19,0.18,0.9410,1428
608,0,15,0.18,0.9409,1430
609,0,17,0.18,0.9408,1430
610,0,29,0.17,0.9407,1431
611,0,24,0.17,0.9406,1431
612,0,33,0.17,0.9405,1431
613,0,15,0.17,0.9404,1432
614,0,15,0.17,0.9404,1432
615,0,5,0.17,0.9403,1433
616,1,25,0.18,0.9402,1434
617,0,14,0.18,0.9401,1434
618,1,29,0.19,0.9400,1435
619,0,21,0.18,0.9399,1436
620,0,34,0.18,0.9398,1437
621,0,26,0.18,0.9397,1437
622,0,9,0.18,0.9396,1437
623,0,9,0.18,0.9395,1437
624,0,8,0.18,0.9394,1438
625,1,23,0.19,0.9393,1441
626,0,9,0.19,0.9392,1441
627,0,21,0.19,0.9391,1443
628,0,13,0.19,0.9390,1444
629,0,11,0.19,0.9389,1444
630,0,12,0.19,0.9388,1444
631,0,14,0.19,0.9388,1444
632,0,9,0.19,0.9387,1445
633,0,12,0.19,0.9386,1446
634,0,18,0.19,0.9385,1447
635,2,30,0.21,0.9384,1452
636,0,14,0.21,0.9383,1454
637,0,28,0.21,0.9382,1455
638,0,20,0.21,0.9381,1455
639,0,26,0.20,0.9380,1455
640,0,14,0.20,0.9379,1457
641,0,43,0.20,0.9378,1457
642,0,27,0.19,0.9377,1458
643,0,19,0.19,0.9376,1459
644,0,8,0.19,0.9375,1459
645,1,8,0.20,0.9374,1460
646,0,37,0.20,0.9373,1466
647,0,10,0.20,0.9373,1466
648,0,23,0.20,0.9372,1466
649,2,63,0.22,0.9371,1475
650,0,59,0.22,0.9370,1482
651,0,10,0.22,0.9369,1482
652,0,17,0.20,0.9368,1484
653,0,15,0.20,0.9367,1486
654,0,5,0.20,0.9366,1486
655,0,33,0.20,0.9365,1486
656,0,20,0.19,0.9364,1487
657,0,24,0.18,0.9363,1487
658,0,10,0.18,0.9362,1487
659,1,17,0.19,0.9361,1489
660,0,29,0.19,0.9360,1491
661,0,15,0.19,0.9359,1492
662,0,13,0.19,0.9358,1492
663,0,30,0.19,0.9358,1493
664,0,15,0.17,0.9357,1495
665,0,22,0.17,0.9356,1495
666,0,8,0.17,0.9355,1497
667,1,12,0.18,0.9354,1498
668,0,26,0.17,0.9353,1498
669,0,9,0.17,0.9352,1498
670,0,8,0.17,0.9351,1498
671,0,14,0.17,0.9350,1498
672,0,23,0.17,0.9349,1499
673,0,17,0.17,0.9348,1501
674,0,7,0.17,0.9347,1501
675,0,23,0.17,0.9346,1501
676,0,10,0.17,0.9345,1501
677,1,49,0.18,0.9344,1501
678,0,15,0.18,0.9344,1503
679,2,24,0.20,0.9343,1504
680,0,21,0.20,0.9342,1505
681,0,13,0.20,0.9341,1507
682,0,11,0.20,0.9340,1507
683,0,25,0.20,0.9339,1507
684,0,34,0.20,0.9338,1507
685,1,40,0.21,0.9337,1509
686,0,12,0.21,0.9336,1509
687,0,20,0.21,0.9335,1511
688,1,35,0.22,0.9334,1513
689,0,32,0.21,0.9333,1515
690,0,26,0.18,0.9332,1515
691,0,8,0.18,0.9331,1516
692,0,5,0.17,0.9330,1516
693,1,28,0.18,0.9330,1518
694,0,16,0.18,0.9329,1519
695,1,12,0.19,0.9328,1519
696,0,10,0.17,0.9327,1519
697,0,13,0.17,0.9326,1519
698,1,43,0.18,0.9325,1524
699,0,12,0.18,0.9324,1524
700,0,41,0.18,0.9323,1527
701,0,15,0.18,0.9322,1527
702,0,15,0.18,0.9321,1528
703,0,5,0.18,0.9320,1528
704,0,28,0.18,0.9319,1529
705,0,83,0.18,0.9318,1531
706,0,22,0.18,0.9317,1533
707,0,5,0.18,0.9316,1533
708,0,12,0.18,0.9316,1533
709,0,9,0.18,0.9315,1533
710,0,16,0.18,0.9314,1535
711,0,26,0.18,0.9313,1535
712,0,10,0.18,0.9312,1535
713,0,10,0.18,0.9311,1535
714,0,10,0.18,0.9310,1535
715,0,6,0.18,0.9309,1535
716,0,27,0.17,0.9308,1538
717,0,10,0.17,0.9307,1538
718,0,12,0.16,0.9306,1538
719,0,19,0.16,0.9305,1538
720,0,43,0.16,0.9304,1538
721,0,26,0.16,0.9303,1540
722,1,29,0.17,0.9302,1543
723,0,65,0.17,0.9302,1548
724,0,10,0.17,0.9301,1548
725,0,31,0.16,0.9300,1550
726,0,15,0.16,0.9299,1550
727,0,14,0.16,0.9298,1550
728,0,12,0.16,0.9297,1550
729,0,12,0.16,0.9296,1550
730,0,19,0.16,0.9295,1550
731,0,24,0.16,0.9294,1552
732,0,32,0.16,0.9293,1552
733,1,16,0.17,0.9292,1554
734,0,9,0.17,0.9291,1554
735,0,22,0.15,0.9290,1557
736,0,19,0.15,0.9289,1557
737,0,17,0.15,0.9289,1559
738,1,9,0.16,0.9288,1559
739,0,15,0.16,0.9287,1560
740,0,19,0.16,0.9286,1560
741,1,24,0.17,0.9285,1562
742,1,50,0.18,0.9284,1566
743,1,20,0.19,0.9283,1568
744,0,6,0.19,0.9282,1568
745,0,12,0.18,0.9281,1569
746,0,7,0.18,0.9280,1569
747,0,21,0.18,0.9279,1569
748,0,24,0.18,0.9278,1569
749,0,16,0.16,0.9277,1569
750,0,7,0.16,0.9276,1569
751,0,17,0.16,0.9276,1569
752,0,5,0.16,0.9275,1569
753,0,28,0.16,0.9274,1569
754,0,12,0.16,0.9273,1569
755,0,11,0.16,0.9272,1569
756,0,6,0.16,0.9271,1569
757,1,21,0.17,0.9270,1571
758,0,6,0.17,0.9269,1571
759,0,15,0.16,0.9268,1571
760,1,14,0.17,0.9267,1573
761,0,16,0.17,0.9266,1573
762,0,29,0.17,0.9265,1577
763,0,20,0.17,0.9264,1577
764,0,18,0.17,0.9263,1578
765,0,16,0.17,0.9263,1578
766,0,38,0.17,0.9262,1578
767,0,7,0.16,0.9261,1578
768,0,10,0.16,0.9260,1579
769,0,7,0.16,0.9259,1579
770,0,13,0.16,0.9258,1579
771,0,32,0.16,0.9257,1579
772,1,41,0.17,0.9256,1585
773,0,11,0.17,0.9255,1585
774,0,21,0.17,0.9254,1585
775,1,7,0.18,0.9253,1587
776,1,28,0.19,0.9252,1588
777,1,32,0.19,0.9251,1590
778,1,5,0.20,0.9251,1591
779,0,18,0.18,0.9250,1593
780,1,21,0.19,0.9249,1593
781,0,12,0.19,0.9248,1594
782,0,24,0.19,0.9247,1595
783,0,5,0.19,0.9246,1595
784,0,7,0.19,0.9245,1595
785,0,23,0.18,0.9244,1595
