Episode,Score,Steps,AvgScore,Epsilon,QStates
609,1,21,0.31,0.0470,1312
610,1,22,0.32,0.0468,1312
611,0,7,0.31,0.0465,1312
612,0,7,0.31,0.0463,1312
613,0,22,0.31,0.0461,1314
614,2,18,0.31,0.0458,1316
615,0,20,0.31,0.0456,1317
616,1,10,0.31,0.0454,1318
617,2,40,0.33,0.0452,1324
618,0,7,0.33,0.0449,1324
619,0,9,0.33,0.0447,1324
620,0,13,0.33,0.0445,1324
621,1,18,0.34,0.0443,1326
622,0,15,0.34,0.0440,1327
623,0,5,0.34,0.0438,1328
624,1,31,0.35,0.0436,1328
625,2,21,0.37,0.0434,1328
626,0,26,0.37,0.0432,1328
627,1,8,0.38,0.0429,1329
628,1,13,0.39,0.0427,1329
629,0,10,0.39,0.0425,1332
630,0,22,0.39,0.0423,1332
631,0,9,0.38,0.0421,1333
632,0,12,0.38,0.0419,1333
633,0,13,0.38,0.0417,1333
634,0,5,0.38,0.0415,1333
635,0,22,0.37,0.0413,1333
636,0,11,0.36,0.0410,1336
637,0,12,0.36,0.0408,1336
638,1,15,0.36,0.0406,1338
639,0,11,0.36,0.0404,1338
640,3,53,0.39,0.0402,1345
641,1,14,0.40,0.0400,1345
642,0,12,0.40,0.0398,1345
643,1,17,0.40,0.0396,1346
644,0,15,0.40,0.0394,1346
645,0,19,0.40,0.0392,1347
646,1,20,0.40,0.0390,1348
647,0,16,0.40,0.0388,1349
648,1,15,0.41,0.0387,1350
649,1,12,0.42,0.0385,1352
650,0,13,0.42,0.0383,1356
651,0,6,0.42,0.0381,1356
652,1,13,0.43,0.0379,1360
653,0,16,0.43,0.0377,1362
654,1,20,0.44,0.0375,1364
655,0,6,0.44,0.0373,1364
656,0,19,0.44,0.0371,1365
657,0,8,0.44,0.0369,1365
658,0,9,0.44,0.0368,1365
659,0,9,0.44,0.0366,1365
660,0,24,0.44,0.0364,1366
661,0,7,0.41,0.0362,1366
662,0,8,0.41,0.0360,1367
663,0,11,0.41,0.0359,1367
664,2,21,0.43,0.0357,1371
665,0,27,0.43,0.0355,1374
666,1,13,0.44,0.0353,1375
667,2,27,0.46,0.0351,1376
668,1,44,0.46,0.0350,1378
669,0,16,0.46,0.0348,1378
670,0,7,0.46,0.0346,1378
671,0,9,0.46,0.0344,1378
